Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-TH_CR2032-BS-6-1,1,CR2032,
"C1, C4, C6",0603,3,100nF,
"C2, C5",0805,2,10uF,
C3,0603,1,1uF,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Pull-Tab,
LS1,BUZ-SMD_4P-L13.0-W13.0-P11.4-BL,1,KLJ-01304T-08R07W,
R1,RES-TH_L5.1-W4.3-P3.40-D0.5,1,GL5528,
"R2, R3, R4",0603,3,10k,
SW1,SW_SPST_TL3342,1,Button,
U1,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,1,ISD3900FYI,
U2,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q16JVSSIQ,
