Designator,Mid X,Mid Y,Rotation,Layer
BT1,167.0,-127.5,0.0,top
C1,126.0,-121.5,0.0,top
C2,126.0,-133.5,0.0,top
C3,150.0,-121.5,0.0,top
C4,132.0,-115.5,0.0,top
C5,150.0,-133.5,0.0,top
C6,160.0,-117.5,0.0,top
J2,150.0,-148.27,0.0,top
LS1,115.0,-137.5,0.0,top
R1,112.0,-119.5,0.0,top
R2,112.0,-109.5,0.0,top
R3,132.0,-109.5,0.0,top
R4,132.0,-145.5,0.0,top
SW1,166.0,-145.5,0.0,top
U1,138.0,-127.5,0.0,top
U2,160.0,-109.5,0.0,top
